LR: 0.001, WD: 4e-05, RE: 0.0133, SAD: 0.1215, RMSE: 0.1450
LR: 0.002, WD: 4e-05, RE: 0.0136, SAD: 0.1176, RMSE: 0.1359
LR: 0.003, WD: 4e-05, RE: 0.0149, SAD: 0.1077, RMSE: 0.1254
LR: 0.004, WD: 4e-05, RE: 0.0147, SAD: 0.0975, RMSE: 0.1107
LR: 0.005, WD: 4e-05, RE: 0.0171, SAD: 0.0893, RMSE: 0.0891
LR: 0.006, WD: 4e-05, RE: 0.0193, SAD: 0.0839, RMSE: 0.0770
LR: 0.007, WD: 4e-05, RE: 0.0306, SAD: 0.0746, RMSE: 0.0721
LR: 0.008, WD: 4e-05, RE: 0.0487, SAD: 0.0271, RMSE: 0.1223
LR: 0.009, WD: 4e-05, RE: 0.0694, SAD: 0.0459, RMSE: 0.2536
LR: 0.006, WD: 1e-05, RE: 0.0729, SAD: 0.0491, RMSE: 0.2701
LR: 0.006, WD: 2e-05, RE: 0.0448, SAD: 0.0397, RMSE: 0.1012
LR: 0.006, WD: 3e-05, RE: 0.0341, SAD: 0.0629, RMSE: 0.0720
LR: 0.006, WD: 4e-05, RE: 0.0426, SAD: 0.0540, RMSE: 0.0963
LR: 0.006, WD: 5e-05, RE: 0.0166, SAD: 0.1019, RMSE: 0.0883
LR: 0.006, WD: 6e-05, RE: 0.0187, SAD: 0.0914, RMSE: 0.0721
LR: 0.006, WD: 7e-05, RE: 0.0145, SAD: 0.1172, RMSE: 0.0987
LR: 0.006, WD: 8e-05, RE: 0.0152, SAD: 0.0977, RMSE: 0.0919
LR: 0.006, WD: 9e-05, RE: 0.0163, SAD: 0.0899, RMSE: 0.0901
LR: 0.006, WD: 4e-05, RE: 0.1321, SAD: 0.7167, RMSE: 0.3792
LR: 0.006, WD: 4e-05, RE: 0.1321, SAD: 0.7167, RMSE: 0.3792
LR: 0.006, WD: 4e-05, RE: 0.1321, SAD: 0.7167, RMSE: 0.3792
LR: 0.006, WD: 4e-05, RE: 0.1321, SAD: 0.7167, RMSE: 0.3792
LR: 0.006, WD: 4e-05, RE: 0.1321, SAD: 0.7167, RMSE: 0.3792
LR: 0.006, WD: 4e-05, RE: 0.0381, SAD: 0.0655, RMSE: 0.0831
LR: 0.006, WD: 4e-05, RE: 0.0381, SAD: 0.0655, RMSE: 0.0831
LR: 0.006, WD: 4e-05, RE: 0.0543, SAD: 0.0399, RMSE: 0.1674
LR: 0.006, WD: 4e-05, RE: 0.0543, SAD: 0.0399, RMSE: 0.1674
LR: 0.006, WD: 4e-05, RE: 0.0543, SAD: 0.0399, RMSE: 0.1674
LR: 0.006, WD: 4e-05, RE: 0.0216, SAD: 0.1069, RMSE: 0.1970
LR: 0.006, WD: 4e-05, RE: 0.0408, SAD: 0.0547, RMSE: 0.0892
LR: 0.006, WD: 4e-05, RE: 0.0183, SAD: 0.0925, RMSE: 0.1229
Model: CAE_, LR: 0.006, WD: 4e-05, RE: 0.0195, SAD: 0.1118, RMSE: 0.1773
Model: CAE_, LR: 0.001, WD: 4e-05, RE: 0.0439, SAD: 0.1996, RMSE: 0.1906
Model: CAE_, LR: 0.002, WD: 4e-05, RE: 0.0241, SAD: 0.1592, RMSE: 0.2060
Model: CAE_, LR: 0.003, WD: 4e-05, RE: 0.0226, SAD: 0.1110, RMSE: 0.1099
Model: CAE_, LR: 0.004, WD: 4e-05, RE: 0.0220, SAD: 0.1024, RMSE: 0.1177
Model: CAE_, LR: 0.005, WD: 4e-05, RE: 0.0226, SAD: 0.1065, RMSE: 0.1239
Model: CAE_, LR: 0.006, WD: 4e-05, RE: 0.0188, SAD: 0.1496, RMSE: 0.1629
Model: CAE_, LR: 0.007, WD: 4e-05, RE: 0.0213, SAD: 0.0851, RMSE: 0.2183
Model: CAE_, LR: 0.008, WD: 4e-05, RE: 0.0226, SAD: 0.0815, RMSE: 0.1876
Model: CAE_, LR: 0.008, WD: 4e-05, RE: 0.0189, SAD: 0.0937, RMSE: 0.1840
Model: CAE_, LR: 0.009, WD: 4e-05, RE: 0.0181, SAD: 0.0879, RMSE: 0.1270
Model: CAE_, LR: 0.008, WD: 1e-05, RE: 0.0202, SAD: 0.1742, RMSE: 0.2054
Model: CAE_, LR: 0.008, WD: 2e-05, RE: 0.0187, SAD: 0.1458, RMSE: 0.2002
Model: CAE_, LR: 0.008, WD: 3e-05, RE: 0.0195, SAD: 0.0761, RMSE: 0.1256
Model: CAE_, LR: 0.008, WD: 4e-05, RE: 0.0208, SAD: 0.1691, RMSE: 0.2090
Model: CAE_, LR: 0.008, WD: 5e-05, RE: 0.0202, SAD: 0.1373, RMSE: 0.1846
Model: CAE_, LR: 0.008, WD: 6e-05, RE: 0.0189, SAD: 0.0886, RMSE: 0.1447
Model: CAE_, LR: 0.008, WD: 8e-05, RE: 0.0214, SAD: 0.1684, RMSE: 0.2059
Model: CAE_, LR: 0.008, WD: 9e-05, RE: 0.0184, SAD: 0.1777, RMSE: 0.1938
Model: CAE_, LR: 0.008, WD: 2e-05, RE: 0.0216, SAD: 0.1784, RMSE: 0.2043
